review,reviewer_name
"M Night Shyamalan's trilogy isn't a shattering disappointment, Glass is so out to dazzle you with its convoluted universe-folding that it becomes a turn-off.",Larushka Ivan-Zadeh
"M. Night Shyamalan has crafted a very effective creepshow with ""Glass,"" a shotgun marriage of his 2000 horror hit ""Unbreakable"" and 2016's ""Split,"" an even bigger blockbuster.",Soren Andersen
The 'Glass' is half empty in laughably bad ending to Shyamalan trilogy.,Matt Oakes
"Rather than being a more grounded and stylized homeopathic antidote to Marvel films, Shyamalan has delivered a strange journey into the meaning and the hope to be found in comic books.",Brian Roan
"When your third act falls apart, that's what people are going to remember, and I feel that's what happened here.",Jeremy Jahns
"...while it certainly has cracks, Glass does not completely shatter under its own thematic weight.",Travis Hopson
Worst movie of 2019!,Mick LaSalle
"People in some glass houses should throw stones. I'm all for tomatoes, too, in the case of Glass, the new thriller from M. Night Shyamalan.",Nigel Andrews
"Glass is like a comic with an incredible cover that promises an amazing story, but inside the art and story are lackluster. But anyone who enjoyed Unbreakable or Split should go to Glass to see how it all ends up.",Michael Sangiacomo
Glass is the most Shyamalan film the director has ever made: only in the sense that you wonder - what could have been.,Robert Daniels
"Two hours and nine minutes roll by, and the film is about as frustrating as standing in a TSA line at the airport.",Dwight Brown
"The relative success of Split seems to have given Shyamalan license to create another indulgent, sloppy tantrum of a film.",Sean Collier
"Glass disappoints, but is not unwatchable. It's not in the same league of Unbreakable and Split. James McAvoy continues to be sensational as The Horde.",Julian Roman
"Suffice to say whatever illusions of a comeback M. Night Shyamalan may have had are likely shattered, like so many of Elijah Price's brittle bones.",Clint Worthington
"A mix of half-formed ideas baked into an uneven casserole. Overlong, talky, filled with meta references, and with a strangely low-energy tone, the movie never fully gels.",James Berardinelli
"Glass concludes Shyamalan's superhero movie trilogy in a manner that manages to be absorbing, frustrating, and bewildering at the same time.",Sandy Schaefer
"The plot to 'Glass' is as broken and splintery as Elijah's bones, but the 19-year-old payoff for 'Unbreakable' fans may be worth your time.",Jamie Broadnax
"January 16, 2019",Kevin Harley
"It's all so antiquated, grooving by with the swagger of Billy Madison sidling up to Generation Xers in an REO Speedwagon shirt. Glass is not just late on arrival, but dead on arrival, and the collateral damage is two solid films and one comeback.",Michael Roffman
"Glass lives up to the hype and was worth the 19-year wait. Is it flawless? Absolutely not, but I don't believe Shyamalan has ever made a film that was.",Scott Menzel
"As mixed quality as this movie is, I still respect that it tries to do something different with comic book mythology, and even with its flaws it is still worth watching--just to see M. Night finish his 19-year-long journey with these characters.",Michelle Kisner
A watchable but self-serious and pointless dissection of the comic book genre.,Roger Moore
"The main thing to savour is what a downright weird dude the director is, and how it bleeds into the movie. Glass is really strange.",Tony Stamp
"For diehard fans hoping for a signature twist (or two), the payoff is pretty sweet.",Jeanmarie Tan
"One of the most impressive aspects of the script is the way it gives entire character arcs to several of the personalities that dwell inside Kevin Crumb's head, and McAvoy plays them out fully across his face and body.",Vinnie Mancuso
"For all the hype behind these three characters meeting, and the years it took to get it off the ground, ""Glass"" is one big anti-climax.",Lindsey Bahr
"Shyamalan tosses the audience morsels of McAvoy during the dour treatise on comic book morality and existential questions about superheroes that is ""Glass.""",Katie Walsh
"As someone who felt that Unbreakable was somewhat lacking, Shyamalan shows his growth as a filmmaker by making a far more enjoyable, mainstream film that tries to satisfy both old and new fans.",Edward Douglas
"Its relentlessly jarring tone makes it gripping, partly because Shyamalan, as usual, withholds key information.",Rich Cline
I see disappointed people.,Mara Reinstein
"[Shyamalan] falls into unlikely situations and also generates expectations that he does not fulfill, but always in order to demonstrate his mastery in a film about manipulators where he is the king. [Full Review in Spanish]",Emiliano Basile
"Never a particularly subtle director, Shyamalan gives you all the clues you need to figure out most of his third-act twists, provided you know what you're looking for.",Emma Stefansky
"GLASS' lackluster vibe hints at a director who has become uninspired. It's shocking, but shouldn't be so surprising that the buildup for GLASS ended up being a shattering disappointment.",James Clay
Shyamalan only half-heartedly attempts to build a cinematic universe. Partly making it a twist and partly building a world makes for a wholly unsatisfying experience.,Joey Magidson
I would love a Marvel movie to film their battles the way Shyamalan does. He can show extraordinary feats while obscuring some aspect of it to activate the viewer's own imagination.,Fred Topel
"Bringing [the trio of intriguing characters] back was a good idea, but this reunion isn't quite the story they deserve.",James Mottram
The sequel to Unbreakable and Split ratifies and underlines the limits and the excess of Shyamalan. [Full Review in Spanish],Diego Batlle
"January 14, 2019",Simon Miraudo
"It's a letdown, despite a good amount of emotional richness and occasional glimpses of greatness.",Brian Truitt
"Oh, these poor actors.",David Edelstein
"Likely to be a big disappointment for many fans of the two other films, Glass falls flat and leaves so much more to be desired.",Ashley Menzel
"Shyamalan not only raises his voice to talk about comics and supermen when referring to Glass, but transcends the genre without being infected by Marvel / DC fever. [Full review in Spanish]",Janire Zurbano
"Misplaced attempts at humour fall flat. Bizarre characters make bizarre decisions and yet we're asked to believe this is a superhero tale firmly grounded in reality. Willis and Jackson look bored, while McAvoy pushes the very limits of hamminess.",Hilary A White
As we so often say with Shyamalan: Maybe next time...,Witney Seibold
"With an ambitious and admirable scope, 'Glass' is a film that shoots for the moon but gets lost with too many detours on its journey, leaving us with a jumbled mess of a film.",Doug Jamieson
"Glass feels the most like Unbreakable. It's such a well-made thing, and Shyamalan didn't disappoint me.",Mark Ellis
"A very well-done movie, it comes down to whether or not you like the ending...a good movie, with a bit disappointing payoff.",Kristian Harloff
"It is safe to say that M. Night has safely redeemed himself after a rather spotty period in the 00's. Glass is not a perfect movie, but it is a consistently entertaining one.",Norm Gidney
A film every bit as stupefying and meandering as Shyamalan's worst efforts.,Tyler Smith
"All this pseudish cultural analysis robs the story of its emotion. It's not the lack of action, it's the lack of feeling that's the problem.",Ed Potton
"It's great that Glass strives for deeper meaning. However, by throwing so much at the audience so quickly, it unravels its own goal.",Brandon Katz
"Never sure whether it's a heroic superhero story or a psychological thriller, Glass feels more than a little scattered and with its uneven and disappointing third act, ultimately unsatisfying.",Rosie Knight
The latest from the director is a singularly strange and meta sequel that's bound to infuriate all but his most devoted fans.,David Sims
"Tying various loose threads together, Shyamalan can't restrain himself from adding more. The result's a lumpy tangle, and the trilogy's weakest instalment.",Tim Robey
The conclusion of this film is a worse disaster than Eastrail 177.,Eric Eisenberg
"...well made, well acted, gorgeously shot film that is worth a look, but for audience members invested in these stories, in these characters, it may prove a somewhat sluggish and deflating experience.",Anthony O'Connor
M. Night Shyamalan gives in to his worst instincts again - to shatter an otherwise promising movie with thousands of jagged pieces made up of overarching theories and obvious plot-twist setups. Great acting and some funny moments can't save it.,J. Don Birnam
"January 9, 2019",Joshua Rothkopf
"Maybe 'The Visit' was a fluke, and the M. Night Shyamalan who made 'Sixth Sense,' 'Unbreakable' and 'Signs' is really gone for good...",Scott Mendelson
"As much as I enjoyed ""Glass,"" I don't think it's better than ""Unbreakable"" or ""Split.""",Kirsten Acuna
"Essentially a Split sequel with an Unbreakable topping, this is weaker than either of those films but still has a decent amount of entertaining and creepy sequences, most of them due to McAvoy's high-commitment performance.",Nick De Semlyen
"Glass offers answers and brings the trilogy neatly to a largely successful close, without completely wrapping things up in a neat bow.",Ian Sandwell
"Put into comic-book terms, Glass takes too long to get from one panel to the next.",Chris Nashawaty
There are so many ideas at play here (perhaps too many) that one cannot help but wonder if Shyamalan is playing an elevated game of bait and switch.,Don Kaye
"Not only does Shyamalan seem to have forgotten what made its two predecessors work so well, but he fails to realize that it's his lack of imagination, not audiences', that keeps them from believing in superheroes.",Todd Gilchrist
"Watching Glass is like going to the movies with that one friend who cannot help leaning over to whisper one banal observation after another into your ear, and then leaning back satisfied that he's just blown your mind.",Angie Han
Glass is the absolute natural progression to the trilogy that M. Night Shyamalan set up with Unbreakable and with Split.,Dan Murrell
"This is clearly one 'for the fans', but those fans might have had their hearts set on a more rousing conclusion.",Matt Maytum
"Despite the pyrotechnics of McAvoy's performances and Willis's grounded conviction, there's just not enough here past the high concept of ""what if real people were superheroes?""...",Fionnuala Halligan
"Honestly, I'm looking forward to what Shyamalan does next. I've enjoyed his career resurgence. But Glass is a big disappointment.",Mike Ryan
"I left Glass feeling less annoyed by Shyamalan doing his thing than I may have in the past. It's actually a little fun to have him around again, demanding our awe.",Richard Lawson
"For all of the endless blather about how comic books have the power to reveal all of our secret identities - one of Jackson's pronouncements about the power of narrative tropes veers close to making ""Glass"" feel like the ""Life Itself"" of superhero movies.",David Ehrlich
"There's a sense of drama and urgency throughout which helps, but one does get the sense Shyamalan thinks he's painting his masterpiece.",Rodrigo Perez
"On a purely practical level, Glass is drawn-out and disjointed, with disparate plot threads (some of them leading to, yes, a perfunctory rug pull) that seem dictated more by its stars' availability than narrative cohesion.",Sam Adams
It's so heavily indebted to its predecessors that much of the emotional impact will be lost on anyone who hasn't watched the other films.,Monica Castillo
"Though satisfying enough to work at the multiplex, it doesn't erase memories of the ways that even movies before the abjectly awful After Earth and The Last Airbender made us wary of the words ""a film by M. Night Shyamalan.""",John DeFore
"Like Superman exposed to kryptonite, directing Glass has robbed Shyamalan of his powers.",Chris Evangelista
"January 9, 2019",Owen Gleiberman
"Given the visual and intellectual sophistication in the superhero movies Hollywood now churns out at a regular clip, Glass just doesn't cut it.",Matt Singer
"It feels like a movie from a filmmaker who has some amazing puzzle pieces-and yet, even after almost 20 years, no clear vision of how to put them together",Germain Lussier
I want to believe in superheroes. It's just that Glass never quite manages to take flight.,Karen Han
"Glass feels like fan service that tries too hard to replicate earlier success, and manages to diminish both Unbreakable and Split in retrospect.",Alissa Wilkinson
"This fresh tomato is largely for James McAvoy's electric performance. But this is M Night's worst ""twist ending"" yet, as the filmmaker throws away everything he's built here.",Grace Randolph
